`Abd,al-Rahman,Abnudi,,,,,,
Jonathan,Swift,,,,,,,
Joost,van,den,Vondel,,,,,
Jorge,Luis,Borges,,,,,,
Jorge,Manrique,,,,,,,
Jose,Angel,Valente,,,,,,
Jose,Carlos,Somoza,,,,,,
Jose,Craveirinha,,,,,,,
Jose,Hernandez,,,,,,,
Jose,Ortega,y,Gasset,,,,,
Joseph,A.,Schumpeter,,,,,,
Joseph,Addison,,,,,,,
Richard,Steele,,,,,,,
Joseph,Campbell,,,,,,,
Joseph,Conrad,,,,,,,
Joseph,Conrad,,,,,,,
Joseph,Conrad,,,,,,,
Joseph,Conrad,,,,,,,
Joseph,Heller,,,,,,,
Juan,Ramon,Jimenez,,,,,,
Juana,Bignozzi,,,,,,,
Judy,Blume,,,,,,,
Judy,Blume,,,,,,,
Jules,Renard,,,,,,,
Jules,Verne,,,,,,,
Jules,Verne,,,,,,,
Jules,Verne,,,,,,,
Jules,Verne,,,,,,,
Julian,Olivares,,,,,,,
Jung,Chang,,,,,,,
Juvenal,,,,,,,,
Kae,Tempest,,,,,,,
Kahlil,Gibran,,,,,,,
Kalidasa,,,,,,,,
Kamala,Das,,,,,,,
Kamau,Brathwaite,,,,,,,
Karl,Marx,,,,,,,
Friedrich,Engels,,,,,,,
Karl,Ove,Knausgaard,,,,,,
Karl,Popper,,,,,,,
Kate,DiCamillo,,,,,,,
Kate,DiCamillo,,,,,,,
Kate,DiCamillo,,,,,,,
Kate,Douglas,Smith,Wiggin,,,,,
Kate,Millett,,,,,,,
Kate,Mulvany,,,,,,,
Kate,Mulvany,,,,,,,
Katherine,Boo,,,,,,,
Katherine,Paterson,,,,,,,
Katherine,Paterson,,,,,,,
Kathryn,Stockett,,,,,,,
Kazuo,Ishiguro,,,,,,,
Ken,Bolton,,,,,,,
Ken,Follett,,,,,,,
Ken,Kesey,,,,,,,
Kenneth,Grahame,,,,,,,
Kenneth,Lonergan,,,,,,,
Kenneth,Slessor,,,,,,,
Khaled,Hosseini,,,,,,,
Khaled,Hosseini,,,,,,,
Kiki,Dimoula,,,,,,,
Kim,Edwards,,,,,,,
Konstantin,P.,Pobedonostsev,,,,,,
Kostas,Karyotakis,,,,,,,
Kostas,Karyotakis,,,,,,,
Kostas,Karyotakis,,,,,,,
Kostas,Varnalis,,,,,,,
Kostis,Palamas,,,,,,,
Kurt,Vonnegut,,,,,,,
Kurt,Vonnegut,,,,,,,
Kwame,Alexander,,,,,,,
Kwame,Nkrumah,,,,,,,
L.,Frank,Baum,,,,,,
L.,M.,Montgomery,,,,,,
Lady,Nijo,,,,,,,
Langston,Hughes,,,,,,,
Langston,Hughes,,,,,,,
Lao,Tsu,,,,,,,
Laura,Esquivel,,,,,,,
Laurence,Sterne,,,,,,,
Laurence,Sterne,,,,,,,
Laurie,Lee,,,,,,,
Lawrence,Wright,,,,,,,
Leo,Tolstoy,,,,,,,
Leon,Edel,,,,,,,
Leopold,Sedar,Senghor,,,,,,
Leopold,Sedar,Senghor,,,,,,
Les,A.,Murray,,,,,,
Lew,Wallace,,,,,,,
Lewis,Carroll,,,,,,,
Lewis,Carroll,,,,,,,
Lewis,Carroll,,,,,,,
Lionel,Trilling,,,,,,,
Lois,Lowry,,,,,,,
Lois,Lowry,,,,,,,
Lord,Byron,,,,,,,
Lord,Byron,,,,,,,
Lorraine,Hansberry,,,,,,,
Louis,Aragon,,,,,,,
Louis,Aragon,,,,,,,
Louis,de,Rouvroy,Saint-Simon,,,,,
Louis,MacNeice,,,,,,,
Louis,Sachar,,,,,,,
Louisa,May,Alcott,,,,,,
Louise,Fitzhugh,,,,,,,
Lucebert,,,,,,,,
Lucille,Clifton,,,,,,,
Lucretius,,,,,,,,
Lucretius,,,,,,,,
Lucy,Kirkwood,,,,,,,
Lucy,Prebble,,,,,,,
Ludwig,van,Beethoven,,,,,,
Ludwig,von,Mises,,,,,,
Ludwig,Wittgenstein,,,,,,,
Ludwig,Wittgenstein,,,,,,,
Luigi,Pirandello,,,,,,,
Luis,Cernuda,,,,,,,
Luis,de,Gongora,,,,,,
Luis,de,Gongora,,,,,,
Luis,Vaz,Camunes,,,,,,
Luljeta,Lleshanaku,,,,,,,
Lydia,Ginzburg,,,,,,,
Lyn,Hejinian,,,,,,,
Lynn,Nottage,,,,,,,
Lynn,Nottage,,,,,,,
Lynne,Reid,Banks,,,,,,
Lytton,Strachey,,,,,,,
M.,F.,K.,Fisher,,,,,
M.,Scott,Peck,,,,,,
M.,Vasalis,,,,,,,
Madame,de,Marie-Madeleine,Pioche,de,La,Vergne,La,Fayett
Madeleine,L'Engle,,,,,,,
Maggie,Nelson,,,,,,,
Mahatma,Gandhi,,,,,,,
Mahmoud,Darwish,,,,,,,
Makriyannis,,,,,,,,
Malcolm,Gladwell,,,,,,,
Manolis,Anagnostakis,,,,,,,
Mao,,,,,,,,
Marc,Bloch,,,,,,,
Marcel,Proust,,,,,,,
Marcel,Proust,,,,,,,
Marcus,Aurelius,,,,,,,
Margaret,Atwood,,,,,,,
Margaret,Atwood,,,,,,,
Margaret,Edson,,,,,,,
Margaret,Mead,,,,,,,
Margaret,Mitchell,,,,,,,
Margaret,Sanger,,,,,,,
Margaret,Widdemer,,,,,,,
Marguerite,Henry,,,,,,,
Marguerite,Henry,,,,,,,
Maria,Bloshteyn,,,,,,,
Mariana,Marin,,,,,,,
Marianne,Moore,,,,,,,
Marie,Curie,,,,,,,
Marie,de,Rabutin-Chantal,marquise,de,Sevigne,,,
Marina,Tsvetayeva,,,,,,,
Mario,de,Andrade,,,,,,
Marjane,Satrapi,,,,,,,
Marjorie,Agosin,,,,,,,
Marjorie,Kinnan,Rawlings,,,,,,
Mark,Haddon,,,,,,,
Mark,Kurlansky,,,,,,,
Mark,Salzman,,,,,,,
Mark,Twain,,,,,,,
Mark,Twain,,,,,,,
Mark,Twain,,,,,,,
Mark,Twain,,,,,,,
Mark,Twain,,,,,,,
Markus,Zusak,,,,,,,
Marshall,McLuhan,,,,,,,
Martin,Amis,,,,,,,
Martin,Heidegger,,,,,,,
Martin,Luther,King,,,,,,
Martin,McDonagh,,,,,,,
Martin,McDonagh,,,,,,,
Martinus,Nijhoff,,,,,,,
Martinus,Nijhoff,,,,,,,
Martinus,Nijhoff,,,,,,,
Marvin,Israel,,,,,,,
Doon,Arbus,,,,,,,
Mary,Karr,,,,,,,
Mary,Oliver,,,,,,,
Mary,Oliver,,,,,,,
Mary,Shelley,,,,,,,
Mary,Wollstonecraft,,,,,,,
Matsuo,Basho,,,,,,,
Matsuo,Basho,,,,,,,
Matthew,Desmond,,,,,,,
Matthew,Lewis,,,,,,,
Max,Beerbohm,,,,,,,
Max,Weber,,,,,,,
Max,Weber,,,,,,,
Maxim,Gorky,,,,,,,
Maxine,Hong,Kingston,,,,,,
Maya,Angelou,,,,,,,
Mencius,,,,,,,,
Meyer,Howard,Abrams,,,,,,
Meyne,Wyatt,,,,,,,
Michael,Crichton,,,,,,,
Michael,Frayn,,,,,,,
Michael,Herr,,,,,,,
Michael,M.,Lewis,,,,,,
Michael,Oakeshott,,,,,,,
Michael,Ondaatje,,,,,,,
Michael,Pollan,,,,,,,
Michael,Shaara,,,,,,,
Michalis,Katsaros,,,,,,,
Michel,de,Montaigne,,,,,,
Michel,Foucault,,,,,,,
Michelle,Alexander,,,,,,,
Michelle,Grangaud,,,,,,,
Miguel,de,Cervantes,,,,,,
Miguel,de,Unamuno,,,,,,
Mihail,Sebastian,,,,,,,
Mikhail,Bulgakov,,,,,,,
Mikhail,Lermontov,,,,,,,
Mildred,D.,Taylor,,,,,,
Milman,Parry,,,,,,,
Milton,Friedman,,,,,,,
Miltos,Sachtouris,,,,,,,
Mitch,Albom,,,,,,,
Moliere,,,,,,,,
Moliere,,,,,,,,
Mongane,Wally,Serote,,,,,,
Montesquieu,,,,,,,,
Montesquieu,,,,,,,,
Moyshe,Kulbak,,,,,,,
Murasaki,Shikibu,,,,,,,
Murasaki,Shikibu,,,,,,,
N.,H.,Kleinbaum,,,,,,
Natalia,Ginzburg,,,,,,,
Natalie,Babbitt,,,,,,,
Nathalie,Sarraute,,,,,,,
Nathaniel,Hawthorne,,,,,,,
Nathaniel,Hawthorne,,,,,,,
Neil,Gaiman,,,,,,,
Neil,Gaiman,,,,,,,
Neil,Simon,,,,,,,
Nelson,Mandela,,,,,,,
Nezami,Ganjavi,,,,,,,
Niccolo,Machiavelli,,,,,,,
Nicholas,Evans,,,,,,,
Nicholas,Sparks,,,,,,,
Nicholas,Sparks,,,,,,,
Nicholas,Sparks,,,,,,,
Nicholas,Sparks,,,,,,,
Nicholas,Sparks,,,,,,,
Nicholas,Sparks,,,,,,,
Nicholas,Sparks,,,,,,,
Nicolas,Bouvier,,,,,,,
Nicolas,Guillen,,,,,,,
Nikolai,Gogol,,,,,,,
Nikolay,Nekrasov,,,,,,,
Nikos,Engonopoulos,,,,,,,
Nikos,Engonopoulos,,,,,,,
Nikos,Gatsos,,,,,,,
Nikos,Kazantzakis,,,,,,,
Nils,Ferlin,,,,,,,
Noel,Coward,,,,,,,
Noel,Coward,,,,,,,
Nora,Roberts,,,,,,,
Norman,Cohn,,,,,,,
Norman,Douglas,,,,,,,
Norman,Mailer,,,,,,,
Norman,Mailer,,,,,,,
Norman,Mailer,,,,,,,
Northrop,Frye,,,,,,,
Norton,Juster,,,,,,,
Novalis,,,,,,,,
Novalis,,,,,,,,
Ntozake,Shange,,,,,,,
Octavio,Paz,,,,,,,
Odysseas,Elytis,,,,,,,
Odysseas,Elytis,,,,,,,
Odysseas,Elytis,,,,,,,
Odysseas,Elytis,,,,,,,
Okot,P'Bitek,,,,,,,
Okot,P'Bitek,,,,,,,
Olaudah,Equiano,,,,,,,
Olive,Beaupre,Miller,,,,,,
Oliver,Goldsmith,,,,,,,
Oliver,Goldsmith,,,,,,,
Oliver,Sacks,,,,,,,
Orson,Scott,Card,,,,,,
Oscar,Pujol,,,,,,,
Oscar,Wilde,,,,,,,
Oscar,Wilde,,,,,,,
Oscar,Wilde,,,,,,,
Osip,Mandelstam,,,,,,,
Osip,Mandelstam,,,,,,,
Osip,Mandelstam,,,,,,,
Osip,Mandelstam,,,,,,,
Oswald,Spengler,,,,,,,
Ovid,,,,,,,,
Owen,Wister,,,,,,,
P.,C.,Hooft,,,,,,
P.,A.,de,Genestet,,,,,
P.,L.,Travers,,,,,,
Pablo,Neruda,,,,,,,
Pablo,Neruda,,,,,,,
Pablo,Neruda,,,,,,,
Patricia,MacLachlan,,,,,,,
Patrick,Kavanagh,,,,,,,
Patrick,Leigh,Fermor,,,,,,
Patrick,Radden,Keefe,,,,,,
Patti,Smith,,,,,,,
Paul,Auster,,,,,,,
Paul,Celan,,,,,,,
Paul,Celan,,,,,,,
Paul,eluard,,,,,,,
Paul,Fussell,,,,,,,
Paul,Johnson,,,,,,,
Paul,Theroux,,,,,,,
Paul,Tillich,,,,,,,
Paul,Valery,,,,,,,
Paul,Valery,,,,,,,
Paul,van,Ostaijen,,,,,,
Paul,van,Ostaijen,,,,,,
Paul,Verlaine,,,,,,,
Paula,Fox,,,,,,,
Paula,Hawkins,,,,,,,
Paulo,Coelho,,,,,,,
Pearl,S.,Buck,,,,,,
Penelope,Fitzgerald,,,,,,,
Percy,Bysshe,Shelley,,,,,,
Peter,Fryer,,,,,,,
Peter,Matthiessen,,,,,,,
Peter,Shaffer,,,,,,,
Peter,Shaffer,,,,,,,
Philip,Gourevitch,,,,,,,
Philip,Larkin,,,,,,,
Philip,Larkin,,,,,,,
Philip,Levine,,,,,,,
Philip,Pullman,,,,,,,
Philip,Pullman,,,,,,,
Philip,Pullman,,,,,,,
Philippe,Jacottet,,,,,,,
Phyllis,Reynolds,Naylor,,,,,,
Pierre,Corneille,,,,,,,
Pierre,Ronsard,,,,,,,
Pierre,Ronsard,,,,,,,
Plato,,,,,,,,
Plutarch,,,,,,,,
Primo,Levi,,,,,,,
Primo,Levi,,,,,,,
Quentin,Crisp,,,,,,,
Quintus,Lutatius,Catulus,,,,,,
Quintus,Lutatius,Catulus,,,,,,
R.,G.,Collingwood,,,,,,
R.,D.,Blackmore,,,,,,
Rabindranath,Tagore,,,,,,,
Rachel,Carson,,,,,,,
Radmila,Lazic,,,,,,,
Rainer,Maria,Rilke,,,,,,
Rainer,Maria,Rilke,,,,,,
Rainer,Maria,Rilke,,,,,,
Ralph,Ellison,,,,,,,
Ralph,Waldo,Emerson,,,,,,
Ralph,Waldo,Emerson,,,,,,
Ralph,Waldo,Emerson,,,,,,
Ramon,Gomez,de,la,Serna,,,,
Randall,Jarrell,,,,,,,
Randall,Jarrell,,,,,,,
Randy,Shilts,,,,,,,
Ransom,Riggs,,,,,,,
Raul,Otero,Reiche,,,,,,
Raul,Zurita,,,,,,,
Ray,Bradbury,,,,,,,
Ray,Bradbury,,,,,,,
Raymond,Queneau,,,,,,,
Rebecca,Skloot,,,,,,,
Rebecca,Stead,,,,,,,
Rebecca,West,,,,,,,
Reinhold,Niebuhr,,,,,,,
Rene,Char,,,,,,,
Rene,Descartes,,,,,,,
Rene,Descartes,,,,,,,
Reverend,Samuel,Johnson,,,,,,
Richard,Adams,,,,,,,
Richard,B.,Sheridan,,,,,,
Richard,Bach,,,,,,,
Richard,Dawkins,,,,,,,
Richard,Hofstadter,,,,,,,
Richard,Holmes,,,,,,,
Richard,Holmes,,,,,,,
Richard,M.,Weaver,,,,,,
Richard,P.,Feynman,,,,,,
Richard,Rhodes,,,,,,,
Richard,Wright,,,,,,,
Richard,Wright,,,,,,,
Rick,Riordan,,,,,,,
Rick,Riordan,,,,,,,
Rita,Dove,,,,,,,
Rita,Dove,,,,,,,
Roald,Dahl,,,,,,,
Roald,Dahl,,,,,,,
Roald,Dahl,,,,,,,
Roald,Dahl,,,,,,,
Robert,A.,Heinlein,,,,,,
Robert,Baden-Powell,,,,,,,
Robert,Bin,Shabaan,,,,,,
Robert,Blake,,,,,,,
Robert,Browning,,,,,,,
Robert,Browning,,,,,,,
Robert,Burns,,,,,,,
Robert,Burton,,,,,,,
Robert,Byron,,,,,,,
Robert,C.,O'Brien,,,,,,
Robert,Caro,,,,,,,
Robert,Caro,,,,,,,
Robert,Coles,,,,,,,
Robert,Conquest,,,,,,,
Robert,Cormier,,,,,,,
Robert,E.,Howard,,,,,,
Robert,Frank,,,,,,,
Robert,Frost,,,,,,,
Robert,Frost,,,,,,,
Robert,Frost,,,,,,,
Robert,Frost,,,,,,,
Robert,Gittings,,,,,,,
Robert,Graves,,,,,,,
Robert,Graves,,,,,,,
Robert,James,Waller,,,,,,
Robert,Louis,Stevenson,,,,,,
Robert,Louis,Stevenson,,,,,,
Robert,Louis,Stevenson,,,,,,
Robert,Louis,Stevenson,,,,,,
Robert,Lowell,,,,,,,
Robert,M.,Pirsig,,,,,,
Robert,Nisbet,,,,,,,
Robert,Penn,Warren,,,,,,
Robert,Penn,Warren,,,,,,
Roberto,Bolauo,,,,,,,
Roger,Tory,Peterson,,,,,,
Roland,Barthes,,,,,,,
Romain,Gary,,,,,,,
Rudyard,Kipling,,,,,,,
Rudyard,Kipling,,,,,,,
Russell,Kirk,,,,,,,
Ryszard,Kapuscinski,,,,,,,
S.,E.,Hinton,,,,,,
Saadi,,,,,,,,
Saint-John,Perse,,,,,,,
Sam,Shepard,,,,,,,
Samuel,Beckett,,,,,,,
Samuel,Beckett,,,,,,,
Samuel,Butler,,,,,,,
Samuel,Johnson,,,,,,,
Samuel,Pepys,,,,,,,
Samuel,Taylor,Coleridge,,,,,,
Samuel,Taylor,Coleridge,,,,,,
Samuel,Taylor,Coleridge,,,,,,
Samuel,Taylor,Coleridge,,,,,,
San,Juan,de,la,Cruz,,,,
Sandra,Cisneros,,,,,,,
Sappho,,,,,,,,
Sara,Gruen,,,,,,,
Sarah,DeLappe,,,,,,,
Sarah,Kane,,,,,,,
Sarah,Kane,,,,,,,
Sarah,Ruhl,,,,,,,
Seamus,Heaney,,,,,,,
Seamus,Heaney,,,,,,,
Seamus,Heaney,,,,,,,
Seamus,Heaney,,,,,,,
Sei,Shonagon,,,,,,,
Sei,Shonagon,,,,,,,
Seneca,,,,,,,,
Sewell,Tyng,,,,,,,
Sharon,Creech,,,,,,,
Sheila,Burnford,,,,,,,
Shel,Silverstein,,,,,,,
Shelby,Foote,,,,,,,
Sherman,Alexie,,,,,,,
Sherwood,Anderson,,,,,,,
Sid,Fleischman,,,,,,,
Siddhartha,Mukherjee,,,,,,,
Siegfried,Sassoon,,,,,,,
Sigmund,Freud,,,,,,,
Sigmund,Freud,,,,,,,
Sigmund,Freud,,,,,,,
Sigmund,Freud,,,,,,,
Sigmund,Freud,,,,,,,
Simon,Armitage,,,,,,,
Simon,Stephens,,,,,,,
Simone,de,Beauvoir,,,,,,
Sinclair,Lewis,,,,,,,
Sinclair,Lewis,,,,,,,
Sinclair,Lewis,,,,,,,
Sir,Walter,Scott,,,,,,
Sol,Plaatje,,,,,,,
Solveig,von,Schoultz,,,,,,
Sonia,Sanchez,,,,,,,
Sonia,Sanchez,,,,,,,
Sophie,Treadwell,,,,,,,
Sophocles,,,,,,,,
Sophocles,,,,,,,,
Soren,Kierkegaard,,,,,,,
St.,John,of,the,Cross,,,,
Stefan,Zweig,,,,,,,
Stefan,Zweig,,,,,,,
Stendhal,,,,,,,,
Stephan,Karam,,,,,,,
Stephane,Mallarme,,,,,,,
Stephane,Mallarme,,,,,,,
Stephen,Crane,,,,,,,
Stephen,Greenblatt,,,,,,,
Stephen,Hawking,,,,,,,
Stephen,Jay,Gould,,,,,,
Stephen,King,,,,,,,
Stephen,King,,,,,,,
Stephen,King,,,,,,,
Stephen,King,,,,,,,
Stephen,King,,,,,,,
Stephen,King,,,,,,,
Stephen,King,,,,,,,
Stephen,King,,,,,,,
Stephenie,Meyer,,,,,,,
Stephenie,Meyer,,,,,,,
Sterling,Allen,Brown,,,,,,
Arthur,Paul,Davis,,,,,,
Ulysses,Lee,,,,,,,
Steven,Berkoff,,,,,,,
Stieg,Larsson,,,,,,,
Stieg,Larsson,,,,,,,
Stieg,Larsson,,,,,,,
Studs,Terkel,,,,,,,
Sue,Grafton,,,,,,,
Sue,Monk,Kidd,,,,,,
Suetonius,,,,,,,,
Sukumar,Dutt,,,,,,,
Sun,Tzu,,,,,,,
Surgeon,General,,,,,,,
Susan,Brownmiller,,,,,,,
Susan,Cooper,,,,,,,
Susan,Cooper,,,,,,,
Susan,Patron,,,,,,,
Susan,Sontag,,,,,,,
Suzan-Lori,Parks,,,,,,,
Suzanne,Collins,,,,,,,
Suzanne,Collins,,,,,,,
Suzanne,Collins,,,,,,,
Svetlana,Alexievich,,,,,,,
Svetlana,Alexievich,,,,,,,
Svetlana,Alexievich,,,,,,,
Sylvia,Plath,,,,,,,
Sylvia,Plath,,,,,,,
T.,E.,Lawrence,,,,,,
T.,H.,White,,,,,,
T.,S.,Eliot,,,,,,
T.,S.,Eliot,,,,,,
Ta-Nehisi,Coates,,,,,,,
Takis,Sinopoulos,,,,,,,
Tara,Westover,,,,,,,
Tchicaya,U.,Tam'si,,,,,,
Ted,Hughes,,,,,,,
Ted,Hughes,,,,,,,
Seamus,Heaney,,,,,,,
Tennessee,Williams,,,,,,,
Tennessee,Williams,,,,,,,
Tennessee,Williams,,,,,,,
Terence,Conran,,,,,,,
Teresa,of,Avila,,,,,,
the,Archpriest,Avvakum,,,,,,
Theodor,Adorno,,,,,,,
Max,Horkheimer,,,,,,,
Theodor,Herzl,,,,,,,
Theodore,Dreiser,,,,,,,
Theodore,Dreiser,,,,,,,
Theresa,Hak,Kyung,Cha,,,,,
Theresa,Rebeck,,,,,,,
Thomas,Aquinas,,,,,,,
Thomas,Carlyle,,,,,,,
Thomas,Carlyle,,,,,,,
Thomas,Hardy,,,,,,,
Thomas,Hobbes,,,,,,,
Thomas,Keneally,,,,,,,
Thomas,Keneally,,,,,,,
Thomas,Kuhn,,,,,,,
Thomas,Lovell,Beddoes,,,,,,
Thomas,Malory,,,,,,,
Thomas,Mann,,,,,,,
Thomas,Mann,,,,,,,
Thomas,Mann,,,,,,,
Thomas,Merton,,,,,,,
Thomas,More,,,,,,,
Thomas,Paine,,,,,,,
Thomas,Paine,,,,,,,
Thomas,Wolfe,,,,,,,
Thor,Heyerdahl,,,,,,,
Thornton,Wilder,,,,,,,
Thornton,Wilder,,,,,,,
Thorstein,Veblen,,,,,,,
Thucydides,,,,,,,,
Tim,O'Brien,,,,,,,
Tim,Powers,,,,,,,
Tom,Stoppard,,,,,,,
Tom,Stoppard,,,,,,,
Tom,Stoppard,,,,,,,
Tom,Wolfe,,,,,,,
Tom,Wolfe,,,,,,,
Tom,Wolfe,,,,,,,
Toni,Morrison,,,,,,,
Toni,Morrison,,,,,,,
Toni,Morrison,,,,,,,
Toni,Morrison,,,,,,,
Tony,Judt,,,,,,,
Tony,Kushner,,,,,,,
Tove,Ditlevsen,,,,,,,
Tove,Ditlevsen,,,,,,,
Tracy,Chevalier,,,,,,,
Tracy,Letts,,,,,,,
Tristan,Corbiere,,,,,,,
Truman,Capote,,,,,,,
Truman,Capote,,,,,,,
Truman,Capote,,,,,,,
Ulla,Hahn,,,,,,,
Umberto,Eco,,,,,,,
Upton,Sinclair,,,,,,,
Valmiki,,,,,,,,
Vasily,Grossman,,,,,,,
Vasily,Rozanov,,,,,,,
Velimir,Khlebnikov,,,,,,,
Vera,Brittain,,,,,,,
Vera,Figner,,,,,,,
Vernon,L.,Parrington,,,,,,
Vicente,Aleixandre,,,,,,,
Victor,Hugo,,,,,,,
Victor,Hugo,,,,,,,
Victor,Hugo,,,,,,,
Victor,Hugo,,,,,,,
Viktor,Frankl,,,,,,,
Virgil,,,,,,,,
Virgil,,,,,,,,
Virginia,Hamilton,,,,,,,
Virginia,Woolf,,,,,,,
Virginia,Woolf,,,,,,,
Virginia,Woolf,,,,,,,
Virginia,Woolf,,,,,,,
Virginia,Woolf,,,,,,,
Vladimir,Ilyich,Lenin,,,,,,
Vladimir,Mayakovsky,,,,,,,
Vladimir,Mayakovsky,,,,,,,
Vladimir,Nabokov,,,,,,,
Vladimir,Nabokov,,,,,,,
Vladimir,Nabokov,,,,,,,
Vladimir,Vladimirovich,Nabokov,,,,,,
Voltaire,,,,,,,,
Voltaire,,,,,,,,
Voltaire,,,,,,,,
Vyasa,,,,,,,,
W.,E.,B.,Du,Bois,,,,
W.,G.,Sebald,,,,,,
W.,G.,Sebald,,,,,,
W.,H.,Auden,,,,,,
W.,H.,Auden,,,,,,
W.,H.,Auden,,,,,,
Norman,Holmes,Pearson,,,,,,
W.,Somerset,Maugham,,,,,,
W.,Somerset,Maugham,,,,,,
W.,Somerset,Maugham,,,,,,
Wallace,Stevens,,,,,,,
Wallace,Stevens,,,,,,,
Walt,Whitman,,,,,,,
Walt,Whitman,,,,,,,
Walt,Whitman,,,,,,,
Walter,Jackson,Bate,,,,,,
Walter,Jackson,Bate,,,,,,
Walter,Jackson,Bate,,,,,,
Walter,Lippmann,,,,,,,
Walter,Pater,,,,,,,
Walter,Pater,,,,,,,
Walter,Scott,,,,,,,
Walter,Scott,,,,,,,
Walter,Scott,,,,,,,
Wei,Wang,,,,,,,
Whittaker,Chambers,,,,,,,
Wilkie,Collins,,,,,,,
Wilkie,Collins,,,,,,,
Willa,Cather,,,,,,,
Willa,Cather,,,,,,,
Willa,Cather,,,,,,,
William,Blake,,,,,,,
William,Blake,,,,,,,
William,Butler,Yeats,,,,,,
William,Carlos,Williams,,,,,,
William,Dea,Howells,,,,,,
William,Faulkner,,,,,,,
William,Faulkner,,,,,,,
William,Faulkner,,,,,,,
William,Faulkner,,,,,,,
William,Godwin,,,,,,,
William,Golding,,,,,,,
William,H.,Armstrong,,,,,,
William,H.,McNeill,,,,,,
William,Hazlitt,,,,,,,
William,Hazlitt,,,,,,,
William,James,,,,,,,
William,James,,,,,,,
William,James,,,,,,,
William,L.,Shirer,,,,,,
William,Least,Heat-Moon,,,,,,
William,Makepeace,Thackeray,,,,,,
William,Manchester,,,,,,,
William,P.,Young,,,,,,
William,S.,Burroughs,,,,,,
William,Shakespeare,,,,,,,
William,Shakespeare,,,,,,,
William,Shakespeare,,,,,,,
William,Shakespeare,,,,,,,
William,Shakespeare,,,,,,,
William,Shakespeare,,,,,,,
William,Styron,,,,,,,
William,Trevor,,,,,,,
William,Wordsworth,,,,,,,
William,Wordsworth,,,,,,,
William,Wordsworth,,,,,,,
Samuel,Taylor,Coleridge,,,,,,
William,Wycherley,,,,,,,
Wilson,Rawls,,,,,,,
Winston,Churchill,,,,,,,
Wislawa,Szymborska,,,,,,,
Wislawa,Szymborska,,,,,,,
Xenophon,,,,,,,,
Yann,Martel,,,,,,,
Yannis,Ritsos,,,,,,,
Yannis,Ritsos,,,,,,,
Yasmina,Reza,,,,,,,
Yiannis,Psycharis,,,,,,,
Yuval,Noah,Harari,,,,,,
Zbigniew,Herbert,,,,,,,
Zora,Neale,Hurston,,,,,,
Pythagoras,,,,,,,,
Confucius,,,,,,,,
Heracleitus,,,,,,,,
Parmenides,,,,,,,,
Zeno,,,,,,,,
Socrates,,,,,,,,
Democritus,,,,,,,,
Plato,,,,,,,,
Aristotle,,,,,,,,
Mencius,,,,,,,,
Zhuangzi,,,,,,,,
Pyrrhon,,,,,,,,
Epicurus,,,,,,,,
Zeno,,,,,,,,
Philo,Judaeus,,,,,,,
Marcus,Aurelius,,,,,,,
Nagarjuna,,,,,,,,
Plotinus,,,,,,,,
Sextus,Empiricus,,,,,,,
Saint,Augustine,,,,,,,
Hypatia,,,,,,,,
Boethius,,,,,,,,
Sankara,,,,,,,,
Yaqub,ibn,Ishaq,as-sabah,al-Kindi,,,,
Al-Farabi,,,,,,,,
Avicenna,,,,,,,,
